participant	id	character_country	character_gendergroup	character_bio	character_quote	character_motive	character_motive_description	suitable	any_suitable	age	education	played_specific	played_franchise	played_fighting	played_any	play_frequency	watched_franchise	watched_fighting	lang_primary	lang_secondary	lang_tertiary	lang_extra	gender_description	normalized_gender	ethnicity_description	normalized_ethnicity	nationality_description	normalized_nationality	feedback	attire_ethnicity	attire_not_sexualized	attire_sexualized	attractive	chubby	costume	ethnic_stereotypes	exaggerated_body	gender_stereotypes	muscular	non_muscular	not_role_model	not_sexualized	obv_ethnicity	old	pos_ethnic_rep	pos_gender_rep	realistic_body	realistic_clothing	role_model	sexualized	skinny	ugly	young	similarity	ethnic_match	ethnic_familiarity
152	lee	Japan	men	The adopted son of Heihachi Mishima, raised to be a rival for Kazuya Mishima. After abandoning the Zaibatsu for various reasons, he ended up idling his time away in the Bahamas as manager of his own company… until a certain event disturbed his permanent vacation and entwined his fate with the Zaibatsu once again.	Leave it to me. I won't disappoint.	For a Male	He is embroiled in a one-sided rivalry with his adoptive brother, Kazuya Mishima.	yes	yes	18-24	bachelors	both	both	yes	yes	daily	occasionally	occasionally	English	Tamil	Hindi		Male	Male	South Asian	Southeast Asian	Indian	Indian	Questions were really easy and I enjoyed it very much.	1	2	6	7	1	1	2	1	1	2	6	1	1	6	1	7	6	7	7	7	5	6	1	7	6	2	6
152	karin	Japan	women	As a top contender for the wealthiest fighter in the Street Fighter universe, Karin Kanzuki is understandably snobbish. She also counts the likes of Sakura, Ken and R. Mika among her rivals.	I'll show you the divide in our class!	For a Male	Her father is a rather strict man as he constantly pushes his daughter into becoming a better heir to the Kanzuki family fortune, as he wanted a son.	yes	yes	18-24	bachelors	both	both	yes	yes	daily	occasionally	occasionally	English	Tamil	Hindi		Male	Male	South Asian	Southeast Asian	Indian	Indian	Questions were really easy and I enjoyed it very much.	3	7	2	5	1	1	2	1	1	2	6	1	6	2	1	7	7	7	7	7	2	6	1	7	5	2	6
152	ed	Unknown	men	Last seen in Balrog's ending in Super Street Fighter IV, Ed is a fleet-footed boxer who is infused with psycho power. His body ages faster than normal due to the modifications he received at the hands of S.I.N.	Well ain't you a high def picture of strength. I'm shakin' here.	For Duty	He is the protégé of Balrog, a potential substitute body for M. Bison.	yes	yes	18-24	bachelors	both	both	yes	yes	daily	occasionally	occasionally	English	Tamil	Hindi		Male	Male	South Asian	Southeast Asian	Indian	Indian	Questions were really easy and I enjoyed it very much.	3	7	3	7	3	6	5	3	6	5	4	4	3	2	1	5	4	5	1	3	5	4	1	6	3	2	3
311	dragunov	Russia	men	Sergei Dragunov entered the King of Iron Fist Tournament on army orders. At the designated arena of his first match, a woman appeared before him. There was something strangely familiar about her… It didn't take Dragunov long to figure out who she was, and he wasted no time in readying himself for combat.	…	For Duty	He is a Russian Spetsnaz soldier.	yes	yes	25-34	associate	no	sfv	yes	yes	weekly	occasionally	occasionally	English				Female	Female	White	White	United States	US American		2	2	5	4	1	1	1	2	3	2	6	1	5	5	1	5	4	6	6	6	3	1	3	1	1	1	5
311	feng	China	men	Feng Wei had always abided by what was written on the God Fist scroll: 'Defeat all other masters and conquer their styles; the perfect warrior transcends all to become the Dragon God.' Having fought masters of many different styles, Feng returned to his childhood training ground to continue his intense training regime. Then one day, an unexpected visitor appeared before Feng: a mysterious man who exuded strength. When the man made it clear that his desire was to fight, Feng had no reason to refuse. He accepted his opponent's challenge in silence, and prepared to battle.	Come on!	Dominance	He seeks the secrets of the God Fist scrolls that were stolen by the Mishima family.	yes	yes	25-34	associate	no	sfv	yes	yes	weekly	occasionally	occasionally	English				Female	Female	White	White	United States	US American		5	2	6	5	1	7	2	6	2	7	1	1	6	7	1	6	5	3	1	6	5	1	1	1	1	1	6
311	lee	Japan	men	The adopted son of Heihachi Mishima, raised to be a rival for Kazuya Mishima. After abandoning the Zaibatsu for various reasons, he ended up idling his time away in the Bahamas as manager of his own company… until a certain event disturbed his permanent vacation and entwined his fate with the Zaibatsu once again.	Leave it to me. I won't disappoint.	For a Male	He is embroiled in a one-sided rivalry with his adoptive brother, Kazuya Mishima.	yes	yes	25-34	associate	no	sfv	yes	yes	weekly	occasionally	occasionally	English				Female	Female	White	White	United States	US American		1	1	7	7	1	2	5	1	5	3	5	6	1	7	1	3	3	6	5	2	7	5	1	3	1	1	6
311	karin	Japan	women	As a top contender for the wealthiest fighter in the Street Fighter universe, Karin Kanzuki is understandably snobbish. She also counts the likes of Sakura, Ken and R. Mika among her rivals.	I'll show you the divide in our class!	For a Male	Her father is a rather strict man as he constantly pushes his daughter into becoming a better heir to the Kanzuki family fortune, as he wanted a son.	yes	yes	25-34	associate	no	sfv	yes	yes	weekly	occasionally	occasionally	English				Female	Female	White	White	United States	US American		2	4	5	6	1	2	5	1	5	3	5	7	5	5	1	1	1	7	5	1	5	6	1	7	2	2	5
311	ed	Unknown	men	Last seen in Balrog's ending in Super Street Fighter IV, Ed is a fleet-footed boxer who is infused with psycho power. His body ages faster than normal due to the modifications he received at the hands of S.I.N.	Well ain't you a high def picture of strength. I'm shakin' here.	For Duty	He is the protégé of Balrog, a potential substitute body for M. Bison.	yes	yes	25-34	associate	no	sfv	yes	yes	weekly	occasionally	occasionally	English				Female	Female	White	White	United States	US American		2	2	5	5	1	6	3	7	3	6	1	3	1	2	1	4	5	2	2	4	5	1	1	5	1	5	5
426	dragunov	Russia	men	Sergei Dragunov entered the King of Iron Fist Tournament on army orders. At the designated arena of his first match, a woman appeared before him. There was something strangely familiar about her… It didn't take Dragunov long to figure out who she was, and he wasted no time in readying himself for combat.	…	For Duty	He is a Russian Spetsnaz soldier.	yes	yes	35-44	some_college	no	sfv	no	yes	weekly	occasionally	occasionally	English				Female	Female	Irish, German, Swedish, English	Irish + German + Swedish + English	American	US American		2	1	2	3	1	2	6	1	4	2	6	6	5	3	2	2	5	6	5	1	2	2	5	2	1	1	1
426	feng	China	men	Feng Wei had always abided by what was written on the God Fist scroll: 'Defeat all other masters and conquer their styles; the perfect warrior transcends all to become the Dragon God.' Having fought masters of many different styles, Feng returned to his childhood training ground to continue his intense training regime. Then one day, an unexpected visitor appeared before Feng: a mysterious man who exuded strength. When the man made it clear that his desire was to fight, Feng had no reason to refuse. He accepted his opponent's challenge in silence, and prepared to battle.	Come on!	Dominance	He seeks the secrets of the God Fist scrolls that were stolen by the Mishima family.	yes	yes	35-44	some_college	no	sfv	no	yes	weekly	occasionally	occasionally	English				Female	Female	Irish, German, Swedish, English	Irish + German + Swedish + English	American	US American		4	7	1	1	1	5	3	2	5	7	1	2	7	6	1	5	3	6	3	2	1	1	6	2	1	1	1
426	lee	Japan	men	The adopted son of Heihachi Mishima, raised to be a rival for Kazuya Mishima. After abandoning the Zaibatsu for various reasons, he ended up idling his time away in the Bahamas as manager of his own company… until a certain event disturbed his permanent vacation and entwined his fate with the Zaibatsu once again.	Leave it to me. I won't disappoint.	For a Male	He is embroiled in a one-sided rivalry with his adoptive brother, Kazuya Mishima.	yes	yes	35-44	some_college	no	sfv	no	yes	weekly	occasionally	occasionally	English				Female	Female	Irish, German, Swedish, English	Irish + German + Swedish + English	American	US American		1	1	6	6	1	1	5	1	4	1	7	1	1	1	1	1	5	7	6	6	6		1	6	1	1	1
426	karin	Japan	women	As a top contender for the wealthiest fighter in the Street Fighter universe, Karin Kanzuki is understandably snobbish. She also counts the likes of Sakura, Ken and R. Mika among her rivals.	I'll show you the divide in our class!	For a Male	Her father is a rather strict man as he constantly pushes his daughter into becoming a better heir to the Kanzuki family fortune, as he wanted a son.	yes	yes	35-44	some_college	no	sfv	no	yes	weekly	occasionally	occasionally	English				Female	Female	Irish, German, Swedish, English	Irish + German + Swedish + English	American	US American		1	1	6	6	2	2	4	1	7	1	6	6	1	2	1	1	1	6	6	2	6	5	2	5	1	1	1
426	ed	Unknown	men	Last seen in Balrog's ending in Super Street Fighter IV, Ed is a fleet-footed boxer who is infused with psycho power. His body ages faster than normal due to the modifications he received at the hands of S.I.N.	Well ain't you a high def picture of strength. I'm shakin' here.	For Duty	He is the protégé of Balrog, a potential substitute body for M. Bison.	yes	yes	35-44	some_college	no	sfv	no	yes	weekly	occasionally	occasionally	English				Female	Female	Irish, German, Swedish, English	Irish + German + Swedish + English	American	US American		1	7	1	2	1	7	1	7	1	7	1	3	5	1	1	1	2	2	1		1	1	6	3	1	3	3
312	kazumi	Japan	women	Kazumi Mishima, wife of Heihachi Mishima, is well versed in Hachijyo Karate. She was childhood friends with her husband Heihachi and eventually they fell in love. Through their love they birthed a healthy young boy. Fast forward a few years later, Heihachi would become the head of a huge organization called the Mishima Zaibatsu, with plans to conquer the world. Kazumi loved Heihachi unconditionally, but at the same time he was beginning to feel dangerous. In this state, Heihachi threw the world into a war and Kazumi took it upon herself to stop him.	I will teach you the meaning of fear.	Save the World	She married to Heihachi because her clan foresaw his attempted world domination in the future and sent her to kill him.	yes	yes	25-34	some_college	no	both	yes	yes	weekly	occasionally	occasionally	English	N/A	N/A		Female	Female	Caucasian	White	American	US American	This was a really fun task. I liked reviewing the characters and seeing their designs.	5	1	5	7	1	4	4	2	2	3	5	1	2	5	2	6	6	6	4	5	6	6	1	6	3	2	4
